borough,census_tract,total_households,median_household_income
Bronx,000100,0,0
Bronx,000200,1123,42539
Bronx,000400,1047,39013
Bronx,000500,0,0
Bronx,001100,126,25588
Bronx,001500,8,26250
Bronx,001600,1837,24552
Bronx,001700,257,21283
Bronx,002000,3109,14691
Bronx,002300,1624,14112
Bronx,002400,0,0
Bronx,002500,1729,12221
Bronx,002701,989,12898
Bronx,002702,1295,12654
Bronx,002800,2360,34234
Bronx,003100,488,27330
Bronx,003300,941,11322
Bronx,003500,1116,18736
Bronx,003600,2659,29375
Bronx,003700,161,23750
Bronx,003800,382,47647
Bronx,003900,2088,15893
Bronx,004001,576,29545
Bronx,004002,0,0
Bronx,004100,1810,12970
Bronx,004300,1485,19434
Bronx,004400,1612,13185
Bronx,004600,618,17976
Bronx,004700,1771,11817
Bronx,004800,1147,19023
Bronx,004900,69,25662
Bronx,005000,3399,20385
Bronx,005200,813,13826
Bronx,005301,0,0
Bronx,005302,1395,15527
Bronx,005400,1769,21282
Bronx,005600,1086,12604
Bronx,005700,125,32279
Bronx,005800,1,6250
Bronx,005901,1718,23138
Bronx,005902,1117,33256
Bronx,006000,310,30242
Bronx,006100,2088,30469
Bronx,006200,2310,16314
Bronx,006400,1257,35279
Bronx,006500,1656,17457
Bronx,006600,1370,26994
Bronx,006700,2120,17353
Bronx,006800,1139,25966
Bronx,006900,1331,10576
Bronx,007000,1281,32146
Bronx,007100,560,36316
Bronx,007200,1753,31126
Bronx,007300,1084,21545
Bronx,007400,1297,40654
Bronx,007500,1566,20813
Bronx,007700,439,21958
Bronx,007800,2075,34353
Bronx,007900,2215,14767
Bronx,008100,0,0
Bronx,008300,2002,25886
Bronx,008400,575,39911
Bronx,008500,1512,18403
Bronx,008600,1439,14409
Bronx,008700,1446,19615
Bronx,008800,1052,16136
Bronx,008900,1065,13007
Bronx,009100,16,8750
Bronx,009200,1799,36589
Bronx,009400,448,40833
Bronx,009700,45,2499
Bronx,009800,1911,38642
Bronx,009900,1551,18931
Bronx,010200,13,20417
Bronx,010500,111,9821
Bronx,011000,271,9461
Bronx,011501,460,18243
Bronx,011502,1222,14167
Bronx,011800,1749,57664
Bronx,011900,1631,16990
Bronx,012101,846,21424
Bronx,012102,494,17688
Bronx,012300,973,17906
Bronx,012500,721,27566
Bronx,012701,712,12342
Bronx,012702,503,19803
Bronx,012901,958,13214
Bronx,012902,209,7044
Bronx,013000,406,48500
Bronx,013100,1123,13281
Bronx,013200,2182,54509
Bronx,013300,2154,16426
Bronx,013500,1032,14667
Bronx,013700,1308,22437
Bronx,013800,717,48813
Bronx,013900,197,21685
Bronx,014100,718,14123
Bronx,014300,297,8606
Bronx,014400,1968,22656
Bronx,014500,1737,14264
Bronx,014700,3459,10775
Bronx,014900,1242,14353
Bronx,015100,1524,18448
Bronx,015300,1032,20918
Bronx,015400,362,52339
Bronx,015500,922,17616
Bronx,015600,537,56343
Bronx,015700,1073,20685
Bronx,015800,548,33438
Bronx,016000,2109,45828
Bronx,016100,1744,16308
Bronx,016200,588,50833
Bronx,016300,0,0
Bronx,016400,391,50733
Bronx,016500,450,11442
Bronx,016600,833,41776
Bronx,016700,521,14432
Bronx,016900,474,16591
Bronx,017100,0,0
Bronx,017300,1666,18375
Bronx,017500,2419,14172
Bronx,017700,2658,14931
Bronx,017900,2476,17685
Bronx,018100,2651,22514
Bronx,018300,3184,24802
Bronx,018400,1546,44167
Bronx,018700,0,0
Bronx,018900,2436,25163
Bronx,019300,1907,13609
Bronx,019400,536,51705
Bronx,019500,2350,20402
Bronx,019600,147,34297
Bronx,019700,2219,22904
Bronx,019800,1322,28783
Bronx,019900,2603,22231
Bronx,020100,1110,21398
Bronx,020200,698,35000
Bronx,020400,1024,34024
Bronx,020500,3328,21754
Bronx,020601,833,29831
Bronx,020602,349,34276
Bronx,020800,742,32572
Bronx,021000,6551,32813
Bronx,021100,1420,19109
Bronx,021200,2160,34444
Bronx,021301,500,15603
Bronx,021302,1271,24899
Bronx,021400,237,68542
Bronx,021501,1066,18207
Bronx,021502,2005,16768
Bronx,021601,1474,33955
Bronx,021602,2212,34866
Bronx,021701,1510,15066
Bronx,021702,154,20833
Bronx,021800,2260,26264
Bronx,021900,407,18750
Bronx,022000,589,11190
Bronx,022100,2494,20603
Bronx,022300,3156,19677
Bronx,022401,1086,30278
Bronx,022402,2879,30982
Bronx,022500,1900,20393
Bronx,022701,1015,19219
Bronx,022702,528,20625
Bronx,022703,573,29063
Bronx,022800,2368,32877
Bronx,022901,1897,25402
Bronx,022902,990,21600
Bronx,023000,992,26042
Bronx,023100,452,15700
Bronx,023200,813,30598
Bronx,023301,1641,24094
Bronx,023302,1097,31466
Bronx,023400,768,31105
Bronx,023501,1389,27591
Bronx,023502,1776,19504
Bronx,023600,625,29669
Bronx,023701,2631,21369
