District,School Site,Co/Dist Code,Site Code,Enrollment,Certified Staff,Grades  (Low-High),Telephone,Mailing Address,City,State,Zip,County,Principal,Principal Email,latitude,longitude
ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 6TH-8TH,55-Z005,971,11,5,06-08,(405) 990-2282,"4500 N. Classen Blvd., Suite 205",Oklahoma City,OK,73118,OKLAHOMA,Tina Barker,tina.barker@ablecharterschool.com,35.523213,-97.535259
ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 9TH-12TH,55-Z005,972,44,5,09-12,(405) 990-2282,"4500 N. Classen Blvd., Suite 205",Oklahoma City,OK,73118,OKLAHOMA,Judith Kuczynski,judy@christinainternationalhs.com,35.523213,-97.535259
ADA,ADA EC CTR,62-I019,105,420,36,PK-KG,(580) 310-7283,603 West 33rd St,Ada,OK,74820,PONTOTOC,Rita Cloar,cloarr@adapss.com,35.623151,-97.483001
ADA,HAYES ES,62-I019,110,475,36,01-02,(580) 310-7294,500 South Mississippi Ave,Ada,OK,74820,PONTOTOC,Diana Clampitt,clampittd@adapss.com,34.77325,-96.678337
ADA,WASHINGTON ES,62-I019,125,386,35,03-04,(580) 310-7303,600 South Oak Ave,Ada,OK,74820,PONTOTOC,Pam Martin,martinp@adapss.com,34.77325,-96.678337
ADA,WILLARD ES,62-I019,130,342,41,05-06,(580) 310-7250,817 East Ninth St,Ada,OK,74820,PONTOTOC,Kevin Mann,mannk@adapss.com,34.772999,-96.675998
ADA,ADA JHS,62-I019,610,532,66,07-09,(580) 310-7260,223 West 18th St,Ada,OK,74820,PONTOTOC,Bryan Harwell,harwellb@adapss.com,34.772999,-96.675998
ADA,ADA HS,62-I019,705,533,71,10-12,(580) 310-7220,1400 Stadium Drive,Ada,OK,74820,PONTOTOC,Charles Golightly,golightlyc@adapss.com,35.511875,-97.486432
ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19-C035,105,403,28,PK-08,(918) 224-4440,7049 Frankoma Road,Tulsa,OK,74131,CREEK,Dawna Watkins,d-watkins@allenbowden.k12.ok.us,35.396632,-97.513299
ALTUS,RIVERS ES,33-I018,105,318,24,PK-04,(580) 481-2183,3000 North Veterans Drive,Altus,OK,73522,JACKSON,Robbie Holder,rholder@altusps.com,35.498893,-97.595249
ALTUS,ROOSEVELT ES,33-I018,120,290,25,PK-04,(580) 481-2185,1200 Glenda St,Altus,OK,73521,JACKSON,Cheryl Anderson,canderson@altusps.com,35.38587,-97.537647
ALTUS,SUNSET ES,33-I018,125,518,33,PK-04,(580) 481-2180,1830 Sunset Drive,Altus,OK,73521,JACKSON,Todd Ware,tware@altusps.com,35.519308,-97.500459
ALTUS,WASHINGTON ES,33-I018,130,329,22,PK-04,(580) 481-2133,311 East Cypress St,Altus,OK,73521,JACKSON,Renee Long,rlong@altusps.com,35.484837,-97.506805
ALTUS,WILL ROGERS ES,33-I018,135,249,21,PK-04,(580) 481-2151,1100 North Forrest St,Altus,OK,73521,JACKSON,Rita Beisel,tbeisel@altusps.com,34.666447,-99.333561
ALTUS,ALTUS INTERMEDIATE SCHOOL,33-I018,145,445,41,05-06,(580) 481-2155,1221 North Howse St,Altus,OK,73521,JACKSON,Jay Richeson,jricheson@altusps.com,34.666447,-99.333561
ALTUS,ALTUS JHS,33-I018,625,493,45,07-08,(580) 481-2173,1600 South Park Lane,Altus,OK,73521,JACKSON,Roe Worbes,rworbes@altusps.com,33.22664,-97.113153
