CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,latitude,longitude
40398796,STARBUCKS COFFEE,MANHATTAN,1117,LEXINGTON AVENUE,10075,2125178476,Café/Coffee/Tea,40.77416,-73.959658
40399099,STARBUCKS COFFEE,MANHATTAN,1445,1 AVENUE,10021,2124727784,Café/Coffee/Tea,40.770156,-73.954541
40399787,STARBUCKS COFFEE,MANHATTAN,1128,3 AVENUE,10065,2124726535,Café/Coffee/Tea,40.765912,-73.963624
40400204,STARBUCKS COFFEE,MANHATTAN,585,2 AVENUE,10016,2126841299,Café/Coffee/Tea,40.743797,-73.976826
40400418,STARBUCKS COFFEE,MANHATTAN,152,COLUMBUS AVENUE,10023,2127210470,Café/Coffee/Tea,40.774135,-73.981402
40400483,STARBUCKS COFFEE,MANHATTAN,2252,BROADWAY,10024,2127211267,Café/Coffee/Tea,40.784927,-73.978801
40400739,STARBUCKS COFFEE,MANHATTAN,1325,ASTOR PLACE,10003,2129823563,Café/Coffee/Tea,40.730029,-73.991829
40515702,STARBUCKS COFFEE,MANHATTAN,78,SPRING STREET,10012,2122192961,Café/Coffee/Tea,40.722455,-73.997699
40518828,STARBUCKS COFFEE,MANHATTAN,330,MADISON AVENUE,10017,2126821880,Café/Coffee/Tea,40.75303,-73.979298
40520604,STARBUCKS,QUEENS,7000,AUSTIN STREET,11375,7182684719,Café/Coffee/Tea,40.720973,-73.847288
40523972,STARBUCKS COFFEE,MANHATTAN,24,STATE STREET,10004,2124821180,Café/Coffee/Tea,40.703385,-74.014119
40524833,STARBUCKS COFFEE,MANHATTAN,1280,LEXINGTON AVENUE,10028,2124262580,Café/Coffee/Tea,40.779918,-73.955457
40524836,STARBUCKS COFFEE,MANHATTAN,378,6 AVENUE,10011,2124772690,Café/Coffee/Tea,40.732999,-73.999746
40524843,STARBUCKS COFFEE,MANHATTAN,1372,BROADWAY,10018,2129210827,Café/Coffee/Tea,40.752348,-73.987239
40525431,STARBUCKS COFFEE,MANHATTAN,1656,BROADWAY,10019,2123977124,Café/Coffee/Tea,40.762188,-73.983338
40525609,STARBUCKS COFFEE,MANHATTAN,322,WEST 57 STREET,10019,2123990714,Café/Coffee/Tea,40.766951,-73.983817
40532870,STARBUCKS COFFEE,MANHATTAN,124,8 AVENUE,10011,2124622020,Café/Coffee/Tea,40.741474,-74.001037
40545938,STARBUCKS COFFEE,MANHATTAN,1100,AVENUE OF THE AMERICAS,10036,3476527979,Café/Coffee/Tea,40.755008,-73.983763
40546256,STARBUCKS COFFEE,MANHATTAN,255,WEST 43 STREET,10036,2123989702,Café/Coffee/Tea,40.757791,-73.988768
40546257,STARBUCKS COFFEE,MANHATTAN,93,GREENWICH AVENUE,10014,2124624697,Café/Coffee/Tea,40.737372,-74.001743
40549610,STARBUCKS COFFEE,MANHATTAN,304,PARK AVENUE SOUTH,10010,2124759025,Café/Coffee/Tea,40.740057,-73.986734
40560440,STARBUCKS COFFEE,MANHATTAN,684,6 AVENUE,10010,2126911948,Café/Coffee/Tea,40.74182,-73.993191
40566617,STARBUCKS COFFEE,MANHATTAN,750,7 AVENUE,10019,2129740032,Café/Coffee/Tea,40.76077,-73.983732
40566621,STARBUCKS,STATEN ISLAND,2530,HYLAN BOULEVARD,10306,7189798608,Café/Coffee/Tea,40.569907,-74.110935
40567856,STARBUCKS,QUEENS,6151,188 STREET,11365,7182640658,Café/Coffee/Tea,40.739312,-73.786333
40570278,STARBUCKS COFFEE,MANHATTAN,370,7 AVENUE,10001,2129672041,Café/Coffee/Tea,40.74907,-73.992305
40570775,STARBUCKS COFFEE,MANHATTAN,48,WEST 73 STREET,10023,2125797834,Café/Coffee/Tea,40.77792,-73.978123
40578724,STARBUCKS COFFEE,MANHATTAN,550,MADISON AVENUE,10022,2128336102,Café/Coffee/Tea,40.761359,-73.97322
40578731,STARBUCKS COFFEE,MANHATTAN,639,3 AVENUE,10017,2129731377,Café/Coffee/Tea,40.749776,-73.974898
40578732,STARBUCKS COFFEE,MANHATTAN,296,3 AVENUE,10010,2125989651,Café/Coffee/Tea,40.738746,-73.983428
40581379,STARBUCKS,QUEENS,10712,CONTINENTAL AVENUE,11375,7187934057,Café/Coffee/Tea,40.718521,-73.84611
40581382,STARBUCKS COFFEE,MANHATTAN,2045,BROADWAY,10023,2124961551,Café/Coffee/Tea,40.777755,-73.982613
40581387,STARBUCKS,BROOKLYN,50,COURT STREET,11201,7188550369,Café/Coffee/Tea,40.692401,-73.991221
40587698,STARBUCKS COFFEE,MANHATTAN,540,COLUMBUS AVENUE,10024,2124964163,Café/Coffee/Tea,40.786806,-73.972202
40587714,STARBUCKS COFFEE,MANHATTAN,757,3 AVENUE,10017,2127159884,Café/Coffee/Tea,40.754084,-73.971804
40587720,STARBUCKS COFFEE,MANHATTAN,1,PENN PLAZA,10119,2127603001,Café/Coffee/Tea,40.750938,-73.991594
40591262,STARBUCKS COFFEE,MANHATTAN,1841,BROADWAY,10023,2123070162,Café/Coffee/Tea,40.769163,-73.982401
40591269,STARBUCKS COFFEE,MANHATTAN,195,BROADWAY,10007,2123851104,Café/Coffee/Tea,40.710706,-74.009408
40601541,STARBUCKS COFFEE,MANHATTAN,2853,BROADWAY,10025,2122807268,Café/Coffee/Tea,40.8047,-73.966665
40602855,STARBUCKS COFFEE,MANHATTAN,462,7 AVENUE,10018,2122796432,Café/Coffee/Tea,40.751906,-73.990188
40602858,STARBUCKS COFFEE,MANHATTAN,116,EAST 57 STREET,10022,2124861632,Café/Coffee/Tea,40.76098,-73.97001
40602863,STARBUCKS COFFEE,MANHATTAN,1642,3 AVENUE,10128,2123600425,Café/Coffee/Tea,40.782604,-73.951443
40602866,STARBUCKS COFFEE,MANHATTAN,444,COLUMBUS AVENUE,10024,2127692296,Café/Coffee/Tea,40.78338,-73.974211
40602872,STARBUCKS,STATEN ISLAND,2505,RICHMOND AVENUE,10314,7184944451,Café/Coffee/Tea,40.586574,-74.167182
40602878,STARBUCKS COFFEE,MANHATTAN,10,UNION SQUARE,10003,2129828426,Café/Coffee/Tea,40.734834,-73.989782
40602887,STARBUCKS COFFEE,MANHATTAN,3,NEW YORK PLAZA,10004,2127851082,Café/Coffee/Tea,40.702853,-74.012514
40612118,STARBUCKS COFFEE,MANHATTAN,825,8 AVENUE,10019,2127652205,Café/Coffee/Tea,40.763075,-73.981524
40612120,STARBUCKS,QUEENS,21529,NORTHERN BOULEVARD,11361,7182814165,Café/Coffee/Tea,40.760889,-73.766134
40636316,STARBUCKS COFFEE,MANHATTAN,55,BROAD STREET,10004,2064027025,Café/Coffee/Tea,40.705121,-74.0114
40653417,STARBUCKS COFFEE,MANHATTAN,261,5 AVENUE,10016,2127791557,Café/Coffee/Tea,40.745038,-73.986817
40664744,STARBUCKS COFFEE,MANHATTAN,424,PARK AVENUE SOUTH,10016,2127250637,American,40.744141,-73.983261
40676348,STARBUCKS COFFEE,MANHATTAN,682,9 AVENUE,10036,2123972288,Café/Coffee/Tea,40.761642,-73.990075
40697311,STARBUCKS COFFEE,MANHATTAN,494,8 AVENUE,10001,2129473860,Café/Coffee/Tea,40.752657,-73.992902
40697315,STARBUCKS COFFEE,MANHATTAN,205,WEST 34 STREET,10001,2122791122,Café/Coffee/Tea,40.750986,-73.991017
40697317,STARBUCKS COFFEE,BROOKLYN,166,7 AVENUE,11215,7183693098,Café/Coffee/Tea,40.671987,-73.97751
40697323,STARBUCKS COFFEE,MANHATTAN,2498,BROADWAY,10025,9174411643,Café/Coffee/Tea,40.7925,-73.973046
40703791,STARBUCKS COFFEE,MANHATTAN,30,ROCKEFELLER CENTER PLAZA,10112,2123977950,Café/Coffee/Tea,40.758827,-73.978813
40703795,STARBUCKS COFFEE,MANHATTAN,2,COLUMBUS AVENUE,10019,2124896757,Café/Coffee/Tea,40.767464,-73.981846
40703801,STARBUCKS COFFEE,MANHATTAN,600,8 AVENUE,10018,2129977337,Café/Coffee/Tea,40.755393,-73.990913
40703837,STARBUCKS COFFEE,MANHATTAN,95,WEST BROADWAY,10013,2127916368,Café/Coffee/Tea,40.715665,-74.008899
40703843,STARBUCKS COFFEE,MANHATTAN,1460,BROADWAY,10036,2128690191,Café/Coffee/Tea,40.755056,-73.986423
40715360,STARBUCKS COFFEE,MANHATTAN,100,WILLIAM STREET,10038,2125099709,Café/Coffee/Tea,40.708512,-74.007348
40715362,STARBUCKS COFFEE,MANHATTAN,871,8 AVENUE,10019,2122467699,Café/Coffee/Tea,40.763814,-73.985231
40715364,STARBUCKS COFFEE,MANHATTAN,665,BROADWAY,10012,9175340799,Café/Coffee/Tea,40.727286,-73.995395
40715365,STARBUCKS,QUEENS,15741,CROSS BAY BOULEVARD,11414,7186419332,Café/Coffee/Tea,40.661404,-73.840067
40722659,STARBUCKS COFFEE,MANHATTAN,150,EAST 42 STREET,10017,2129494122,Café/Coffee/Tea,40.750979,-73.975365
40726194,STARBUCKS COFFEE,MANHATTAN,525,7 AVENUE,10018,2128695273,Café/Coffee/Tea,40.753635,-73.988482
40736135,STARBUCKS COFFEE,MANHATTAN,200,MADISON AVENUE,10016,2126846873,Café/Coffee/Tea,40.749026,-73.982779
40736137,STARBUCKS COFFEE,MANHATTAN,2929,BROADWAY,10025,2129320300,Café/Coffee/Tea,40.807109,-73.964904
40736140,STARBUCKS COFFEE,MANHATTAN,125 - 135,EAST 57 STREET,10022,2129351866,Café/Coffee/Tea,40.761222,-73.969415
40737930,STARBUCKS COFFEE,MANHATTAN,55,EAST 53 STREET,10022,2127507140,Café/Coffee/Tea,40.760374,-73.975209
