GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US40001376600,40001376600,"Census Tract 3766, Adair County, Oklahoma",38208,3881
1400000US40001376700,40001376700,"Census Tract 3767, Adair County, Oklahoma",35605,3148
1400000US40001376800,40001376800,"Census Tract 3768, Adair County, Oklahoma",30855,3235
1400000US40001376900,40001376900,"Census Tract 3769, Adair County, Oklahoma",24413,3271
1400000US40001377000,40001377000,"Census Tract 3770, Adair County, Oklahoma",33372,2589
1400000US40003955600,40003955600,"Census Tract 9556, Alfalfa County, Oklahoma",45595,7196
1400000US40003955700,40003955700,"Census Tract 9557, Alfalfa County, Oklahoma",50365,6818
1400000US40003956000,40003956000,"Census Tract 9560, Alfalfa County, Oklahoma",47849,6106
1400000US40005587600,40005587600,"Census Tract 5876, Atoka County, Oklahoma",47045,5232
1400000US40005587700,40005587700,"Census Tract 5877, Atoka County, Oklahoma",30822,3521
1400000US40005587800,40005587800,"Census Tract 5878, Atoka County, Oklahoma",39591,2539
1400000US40005587900,40005587900,"Census Tract 5879, Atoka County, Oklahoma",37163,4457
1400000US40007951600,40007951600,"Census Tract 9516, Beaver County, Oklahoma",50833,6438
1400000US40007951700,40007951700,"Census Tract 9517, Beaver County, Oklahoma",64306,11970
1400000US40007951800,40007951800,"Census Tract 9518, Beaver County, Oklahoma",50750,4374
1400000US40009966100,40009966100,"Census Tract 9661, Beckham County, Oklahoma",55000,11249
1400000US40009966200,40009966200,"Census Tract 9662, Beckham County, Oklahoma",57792,17389
1400000US40009966500,40009966500,"Census Tract 9665, Beckham County, Oklahoma",38281,6936
1400000US40009966800,40009966800,"Census Tract 9668, Beckham County, Oklahoma",40811,8800
1400000US40011958600,40011958600,"Census Tract 9586, Blaine County, Oklahoma",39595,5189
1400000US40011958700,40011958700,"Census Tract 9587, Blaine County, Oklahoma",40046,7416
1400000US40011958800,40011958800,"Census Tract 9588, Blaine County, Oklahoma",44781,2672
1400000US40011958900,40011958900,"Census Tract 9589, Blaine County, Oklahoma",49286,4966
1400000US40011959000,40011959000,"Census Tract 9590, Blaine County, Oklahoma",42386,6729
1400000US40013795600,40013795600,"Census Tract 7956, Bryan County, Oklahoma",39031,3328
1400000US40013795700,40013795700,"Census Tract 7957, Bryan County, Oklahoma",34329,3548
1400000US40013795900,40013795900,"Census Tract 7959, Bryan County, Oklahoma",35543,5619
1400000US40013796001,40013796001,"Census Tract 7960.01, Bryan County, Oklahoma",44144,5405
1400000US40013796002,40013796002,"Census Tract 7960.02, Bryan County, Oklahoma",38798,4622
1400000US40013796100,40013796100,"Census Tract 7961, Bryan County, Oklahoma",47286,4074
1400000US40013796200,40013796200,"Census Tract 7962, Bryan County, Oklahoma",30179,5100
1400000US40013796300,40013796300,"Census Tract 7963, Bryan County, Oklahoma",36364,8529
1400000US40013796400,40013796400,"Census Tract 7964, Bryan County, Oklahoma",24500,4259
1400000US40013796500,40013796500,"Census Tract 7965, Bryan County, Oklahoma",31786,11011
1400000US40013796600,40013796600,"Census Tract 7966, Bryan County, Oklahoma",38352,4597
1400000US40015161600,40015161600,"Census Tract 1616, Caddo County, Oklahoma",47885,3904
1400000US40015161700,40015161700,"Census Tract 1617, Caddo County, Oklahoma",42297,2817
1400000US40015161800,40015161800,"Census Tract 1618, Caddo County, Oklahoma",31977,2666
1400000US40015161900,40015161900,"Census Tract 1619, Caddo County, Oklahoma",39063,8508
1400000US40015162000,40015162000,"Census Tract 1620, Caddo County, Oklahoma",48000,6797
1400000US40015162100,40015162100,"Census Tract 1621, Caddo County, Oklahoma",30329,4271
1400000US40015162200,40015162200,"Census Tract 1622, Caddo County, Oklahoma",46184,8398
1400000US40015162300,40015162300,"Census Tract 1623, Caddo County, Oklahoma",41518,5731
1400000US40017300100,40017300100,"Census Tract 3001, Canadian County, Oklahoma",55588,7302
