SURVYEAR,NCESSCH,LEANM,SCHNAM,LCITY,LSTATE,LZIP,TYPE,STATUS,GSLO,GSHI,LEVEL,TITLEISTAT,TITLEI,CHARTR,VIRTUALSTAT,FRELCH,REDLCH,TOTFRL,MEMBER,latitude,longitude
2013,400001301028,TIMBERLAKE,TIMBERLAKE ES,JET,OK,73749,1,1,PK,08,1,5,1,2,VIRTUALNO,95,17,112,197,36.668500,-98.178700
2013,400001301101,TIMBERLAKE,TIMBERLAKE HS,HELENA,OK,73741,1,1,09,12,3,4,1,2,VIRTUALNO,25,14,39,77,36.548800,-98.270300
2013,400001401566,BURNS FLAT-DILL CITY,WILL ROGERS ES,BURNS FLAT,OK,73624,1,1,PK,08,1,5,1,2,VIRTUALNO,307,73,380,529,35.360700,-99.171400
2013,400001401582,BURNS FLAT-DILL CITY,BURNS FLAT-DILL CITY HS,BURNS FLAT,OK,73624,1,1,09,12,3,4,1,2,VIRTUALNO,67,16,83,138,35.348400,-99.170800
2013,400001501630,THOMAS-FAY-CUSTER UNIFIED DIST,THOMAS ES,THOMAS,OK,73669,1,1,PK,06,1,5,1,2,VIRTUALNO,118,33,151,290,35.751900,-98.748300
2013,400001501641,THOMAS-FAY-CUSTER UNIFIED DIST,THOMAS-FAY-CUSTER UNIFIED JHS,THOMAS,OK,73669,1,1,07,09,2,5,1,2,VIRTUALNO,36,7,43,72,35.752300,-98.747400
2013,400001501659,THOMAS-FAY-CUSTER UNIFIED DIST,THOMAS-FAY-CUSTER UNIFIED HS,THOMAS,OK,73669,1,1,10,12,3,6,2,2,VIRTUALNO,40,13,53,111,35.752300,-98.747400
2013,400002025620,FRONTIER,FRONTIER ES,RED ROCK,OK,74651,1,1,PK,08,1,5,1,2,VIRTUALNO,174,32,206,270,36.461700,-97.158700
2013,400002029709,FRONTIER,FRONTIER HS,RED ROCK,OK,74651,1,1,09,12,3,4,1,2,VIRTUALNO,45,13,58,91,36.461700,-97.158700
2013,400002100848,OKLAHOMA UNION,OKLAHOMA UNION ES,SOUTH COFFEYVILLE,OK,74072,1,1,PK,05,1,5,1,2,VIRTUALNO,139,48,187,285,36.998700,-95.620900
