time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-30T22:54:39.390Z,35.7855,-98.5132,5,2.5,mb_lg,,133,0.712,0.59,us,us100042ba,2015-12-01T09:44:03.976Z,"11km SW of Watonga, Oklahoma",earthquake
2015-11-30T21:28:44.790Z,36.9247,-97.8149,5.64,3.6,mb_lg,,23,0.081,0.43,us,us100042a0,2015-12-01T09:41:59.029Z,"14km NNW of Medford, Oklahoma",earthquake
2015-11-30T19:47:11.400Z,36.3457,-99.2157,2.981,3.3,ml,,204,,0.58,us,us10004292,2015-12-01T13:45:51.150Z,"10km S of Mooreland, Oklahoma",earthquake
2015-11-30T18:00:44.370Z,36.7302,-98.0625,5,3.2,mb_lg,,98,0.107,0.28,us,us1000428g,2015-12-01T00:05:38.893Z,"26km E of Cherokee, Oklahoma",earthquake
2015-11-30T13:41:55.890Z,36.2884,-97.495,5,2.7,mb_lg,,109,0.449,0.31,us,us10004267,2015-11-30T17:49:59.492Z,"18km W of Perry, Oklahoma",earthquake
2015-11-30T13:00:55.090Z,36.2804,-97.5226,3.52,3.1,mb_lg,,114,0.434,0.21,us,us10004261,2015-11-30T15:52:11.067Z,"21km W of Perry, Oklahoma",earthquake
2015-11-30T11:50:15.380Z,35.6754,-97.4033,5.39,3,mb_lg,,47,0.108,0.58,us,us1000425g,2015-12-01T15:54:48.828Z,"7km ENE of Edmond, Oklahoma",earthquake
2015-11-30T09:49:13.490Z,36.7371,-98.0061,5,4.7,mwr,,67,0.163,0.56,us,us1000424d,2015-12-01T19:20:01.347Z,"25km WSW of Medford, Oklahoma",earthquake
2015-11-29T15:08:47.320Z,37.0068333,-97.5911667,5.89,2.31,ml,20,84,0.09094,0.04,ismpkansas,ismpkansas70158153,2015-11-30T23:14:16.744Z,"3km SSE of Caldwell, Kansas",earthquake
2015-11-29T12:39:26.190Z,37.1856,-97.9546,8.3,2.7,mb_lg,,46,0.038,0.6,us,us10004216,2015-11-30T23:06:57.170Z,"7km ENE of Anthony, Kansas",earthquake
2015-11-29T10:17:43.850Z,36.5004,-98.9436,5.61,2.8,mb_lg,,79,0.129,0.71,us,us1000420w,2015-11-29T18:20:17.456Z,"24km ENE of Mooreland, Oklahoma",earthquake
2015-11-28T18:05:58.970Z,37.2028,-97.9737,7.96,2.7,mb_lg,,61,0.024,0.51,us,us100041xc,2015-12-01T16:13:02.549Z,"7km NE of Anthony, Kansas",earthquake
2015-11-28T14:20:04.250Z,37.0066667,-97.59,5.58,2.13,ml,20,84,0.09002,0.04,ismpkansas,ismpkansas70157868,2015-11-30T18:32:29.241Z,"3km SSE of Caldwell, Kansas",earthquake
2015-11-28T13:51:07.450Z,36.2069,-97.4412,5,2.7,mb_lg,,61,0.529,0.37,us,us100041vy,2015-11-30T10:22:28.244Z,"16km WSW of Perry, Oklahoma",earthquake
2015-11-28T10:01:58.950Z,35.4867,-97.2787,9.45,2.4,ml,,55,0.074,0.45,us,us100041vb,2015-11-30T23:41:30.686Z,"1km SW of Choctaw, Oklahoma",earthquake
2015-11-28T01:56:24.330Z,36.4539,-98.7214,2.05,2.5,mb_lg,,70,0.237,0.44,us,us100041u1,2015-11-28T09:58:54.408Z,"29km NW of Fairview, Oklahoma",earthquake
2015-11-27T21:57:49.660Z,36.2357,-97.4732,1.43,2.5,mb_lg,,86,0.491,0.5,us,us100041tk,2015-11-28T02:33:04.097Z,"17km WSW of Perry, Oklahoma",earthquake
2015-11-27T06:05:45.520Z,35.7671,-97.3786,9.67,2.4,ml,,56,0.188,0.27,us,us100041mx,2015-11-30T22:09:15.681Z,"13km SSE of Guthrie, Oklahoma",earthquake
2015-11-27T01:12:58.470Z,36.2424,-97.4057,5,2.7,mb_lg,,59,0.426,0.67,us,us100041lr,2015-11-30T10:16:39.821Z,"11km WSW of Perry, Oklahoma",earthquake
2015-11-27T00:06:47.230Z,36.8071,-97.7831,3.79,2.5,mb_lg,,45,0.075,0.52,us,us100041lj,2015-11-27T01:04:38.941Z,"4km W of Medford, Oklahoma",earthquake
2015-11-26T23:47:40.850Z,36.2947,-97.6869,1.45,2.6,mb_lg,,38,0.318,0.61,us,us100041lh,2015-11-27T07:26:45.269Z,"19km E of Waukomis, Oklahoma",earthquake
2015-11-26T09:46:36.290Z,37.1685,-97.7983333,3.7,2.06,ml,21,73,0.03486,0.03,ismpkansas,ismpkansas70157508,2015-11-30T16:46:19.021Z,"20km E of Anthony, Kansas",earthquake
2015-11-26T09:08:44.350Z,36.9443,-97.808,6.06,3,mb_lg,,37,0.101,0.27,us,us100041hx,2015-11-26T12:57:29.003Z,"16km NNW of Medford, Oklahoma",earthquake
2015-11-26T09:04:56.560Z,36.3819,-98.2818,5.38,2.8,mb_lg,,98,0.27,0.12,us,us100041hw,2015-11-26T17:07:22.060Z,"18km S of Helena, Oklahoma",earthquake
2015-11-26T06:58:36.600Z,36.1802,-97.3519,3.18,2.5,mb_lg,,60,0.361,0.36,us,us100041hc,2015-11-26T15:01:03.573Z,"13km SSW of Perry, Oklahoma",earthquake
2015-11-26T05:14:50.270Z,36.3065,-97.7469,5,3.1,mb_lg,,42,0.274,0.41,us,us100041ew,2015-11-26T09:19:37.732Z,"13km ENE of Waukomis, Oklahoma",earthquake
2015-11-26T05:06:36.990Z,36.3224,-97.7379,5,3.1,mb_lg,,64,0.268,0.54,us,us100041es,2015-11-27T01:07:52.210Z,"14km ESE of Enid, Oklahoma",earthquake
2015-11-26T00:56:02.710Z,36.9124,-97.8043,4.41,3.5,mb_lg,,38,0.075,0.46,us,us100041dk,2015-11-26T02:57:25.247Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-26T00:32:48.960Z,36.9106,-97.8055,2.4,3.2,mb_lg,,49,0.134,0.42,us,us100041di,2015-11-26T08:35:14.900Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-25T22:27:53.340Z,36.1281,-97.0707,6.48,2.2,mb_lg,,54,0.136,0.48,us,us100041cu,2015-11-25T23:17:13.069Z,"1km NW of Stillwater, Oklahoma",earthquake
2015-11-25T18:34:23.420Z,37.1773333,-97.8345,1.82,2.17,ml,19,66,0.04103,0.03,ismpkansas,ismpkansas70157348,2015-11-26T02:36:55.718Z,"17km E of Anthony, Kansas",earthquake
2015-11-25T17:57:45.820Z,35.8804,-96.8976,5,2.6,mb_lg,,52,0.086,0.89,us,us100041ai,2015-11-25T18:57:29.616Z,"16km SW of Cushing, Oklahoma",earthquake
2015-11-25T15:18:13.830Z,36.8358,-97.653,2.3,2.5,mb_lg,,33,0.166,0.29,us,us10004198,2015-11-25T23:20:56.458Z,"7km ENE of Medford, Oklahoma",earthquake
2015-11-25T14:02:02.480Z,36.9271,-97.8073,7.17,3.1,mb_lg,,36,0.086,0.32,us,us1000418t,2015-11-25T14:38:06.658Z,"14km NNW of Medford, Oklahoma",earthquake
2015-11-25T13:26:43.100Z,35.024,-97.6467,4.896,2.6,ml,,68,,0.26,us,us1000418r,2015-11-25T22:27:01.509Z,"12km S of Blanchard, Oklahoma",earthquake
2015-11-25T09:00:08.730Z,36.6383,-99.0048,5,2.6,mb_lg,,188,0.258,0.32,us,us1000416l,2015-11-25T13:25:36.830Z,"28km NE of Mooreland, Oklahoma",earthquake
2015-11-25T01:03:50.890Z,37.1691667,-97.7993333,3.39,2.01,ml,20,72,0.03587,0.04,ismpkansas,ismpkansas70157238,2015-11-25T17:30:14.250Z,"20km E of Anthony, Kansas",earthquake
2015-11-25T00:43:51.280Z,36.8204,-98.2335,5,4,mb_lg,,19,0.024,0.62,us,us1000413f,2015-11-30T10:09:48.519Z,"13km NE of Cherokee, Oklahoma",earthquake
2015-11-24T11:34:56.310Z,37.1686667,-97.7995,3.89,2.48,ml,21,72,0.03578,0.05,ismpkansas,ismpkansas70156748,2015-11-24T17:32:51.837Z,"20km E of Anthony, Kansas",earthquake
2015-11-24T04:37:55.660Z,36.3368,-96.794,1.16,2.1,mb_lg,,60,0.179,0.47,us,us100040mg,2015-11-24T21:45:39.892Z,"0km E of Pawnee, Oklahoma",earthquake
2015-11-24T00:54:18.780Z,36.8176,-98.2926,5,3.5,mb_lg,,95,0.067,0.46,us,us100040lf,2015-11-24T16:13:30.441Z,"9km NE of Cherokee, Oklahoma",earthquake
2015-11-23T21:36:18.700Z,36.8082,-98.2725,5,3.5,mb_lg,,114,0.05,0.22,us,us100040ji,2015-11-24T19:37:55.660Z,"9km NE of Cherokee, Oklahoma",earthquake
2015-11-23T21:17:46.620Z,36.818,-98.2733,5,4.4,mwr,,114,0.052,0.27,us,us100040je,2015-12-01T03:47:45.229Z,"10km NE of Cherokee, Oklahoma",earthquake
2015-11-23T18:31:01.000Z,36.6528,-98.4777,7.427,3.2,ml,,117,,0.39,us,us100040i1,2015-11-24T04:09:52.583Z,"15km SW of Cherokee, Oklahoma",earthquake
2015-11-23T11:26:41.660Z,37.1406667,-97.5695,4.44,2.23,ml,22,97,0.03928,0.05,ismpkansas,ismpkansas70156453,2015-11-23T19:29:18.445Z,"12km NNE of Caldwell, Kansas",earthquake
2015-11-23T07:02:24.350Z,36.1853,-97.0452,5.24,2.1,mb_lg,,68,0.273,0.51,us,us100040g7,2015-11-23T21:52:38.587Z,"7km N of Stillwater, Oklahoma",earthquake
2015-11-23T06:14:36.970Z,37.0036667,-98.0361667,6.24,2.21,ml,20,123,0.07495,0.05,ismpkansas,ismpkansas70156398,2015-11-23T19:06:25.175Z,"16km S of Anthony, Kansas",earthquake
2015-11-23T02:34:06.700Z,36.1752,-97.3461,6.818,2.4,ml,,59,,0.52,us,us100040fg,2015-11-24T00:21:26.920Z,"13km SSW of Perry, Oklahoma",earthquake
2015-11-22T22:21:10.390Z,36.154,-97.0194,3.43,2.4,ml,,53,0.248,0.46,us,us100040e6,2015-11-23T21:31:54.596Z,"5km NE of Stillwater, Oklahoma",earthquake
2015-11-22T15:37:44.380Z,37.1896667,-97.9935,5.88,2.03,ml,21,72,0.04114,0.04,ismpkansas,ismpkansas70156173,2015-11-23T18:51:58.944Z,"5km NE of Anthony, Kansas",earthquake
2015-11-22T14:07:18.100Z,36.3328,-96.8018,5,2.6,mb_lg,,64,0.178,0.41,us,us100040bm,2015-11-22T22:08:59.753Z,"0km SSE of Pawnee, Oklahoma",earthquake
2015-11-22T13:46:32.230Z,37.0353333,-97.9348333,4.01,2.05,ml,21,81,0.08155,0.06,ismpkansas,ismpkansas70156158,2015-11-23T18:43:36.703Z,"15km SSE of Anthony, Kansas",earthquake
2015-11-22T08:12:32.200Z,36.6466,-98.4563,5.83,2.8,mb_lg,,96,0.252,0.3,us,us100040ai,2015-11-22T08:56:11.059Z,"14km SW of Cherokee, Oklahoma",earthquake
2015-11-22T04:57:51.810Z,36.6522,-98.3971,5,2.5,mb_lg,,93,0.213,0.64,us,us1000409m,2015-11-23T01:53:17.157Z,"11km SSW of Cherokee, Oklahoma",earthquake
2015-11-21T20:43:56.510Z,35.6704,-97.169,5,2.5,mb_lg,,39,0.023,0.37,us,us10004063,2015-11-21T23:26:13.899Z,"2km ENE of Luther, Oklahoma",earthquake
2015-11-21T19:42:30.610Z,36.7496,-98.0522,7.91,2.7,mb_lg,,50,0.091,0.49,us,us10004058,2015-11-22T04:56:23.406Z,"27km E of Cherokee, Oklahoma",earthquake
2015-11-21T17:59:45.530Z,36.3054,-96.8808,11.93,2.5,mb_lg,,33,0.193,0.47,us,us1000404r,2015-11-24T19:11:38.457Z,"7km WSW of Pawnee, Oklahoma",earthquake
2015-11-21T14:04:13.840Z,36.9191,-97.8055,5.62,2.6,mb_lg,,42,0.08,0.34,us,us1000403t,2015-11-21T18:17:26.048Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-21T13:21:03.950Z,36.4155,-96.8663,5,2.6,mb_lg,,65,0.275,0.48,us,us1000403s,2015-11-21T21:23:45.887Z,"10km NNW of Pawnee, Oklahoma",earthquake
2015-11-21T11:00:17.830Z,36.9244,-97.7906,5,2.7,mb_lg,,33,0.091,0.49,us,us1000403g,2015-11-21T11:39:28.689Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-21T09:22:39.020Z,36.8354,-98.2217,5,2.8,mb_lg,,112,0.032,0.37,us,us1000402v,2015-11-21T10:04:51.826Z,"15km NE of Cherokee, Oklahoma",earthquake
2015-11-21T07:31:36.410Z,35.6712,-97.4348,9.98,2.4,ml,,68,0.09,0.49,us,us1000402n,2015-11-22T23:29:26.477Z,"4km ENE of Edmond, Oklahoma",earthquake
2015-11-21T00:27:17.350Z,36.924,-97.8164,7.56,2.6,mb_lg,,36,0.08,0.48,us,us1000400f,2015-11-21T04:31:18.392Z,"14km NNW of Medford, Oklahoma",earthquake
