artist_name,title,id,release_date,us_sales,peak_aus,peak_can,peak_fra,peak_ger,peak_uk,peak_us,riaa_platinum,wikipedia_url,wikipedia_image_url
Justin Bieber,My World 2.0,9c2af0f5521278889d050869c1eeb167,2010-03-19,3100000,1,1,4,7,3,1,3,https://en.wikipedia.org/wiki/My_World_2.0,https://upload.wikimedia.org/wikipedia/en/b/b9/Myworld2.jpg
Justin Bieber,Under the Mistletoe,ee6932d190224335249abae44482026e,2011-11-01,1500000,6,1,14,21,13,1,1,https://en.wikipedia.org/wiki/Under_the_Mistletoe,https://upload.wikimedia.org/wikipedia/en/4/49/Under_the_Mistletoe.jpg
Justin Bieber,Believe,badb542952a95471ae9bcc7047812a4a,2012-06-15,1324000,1,1,3,3,1,1,1,https://en.wikipedia.org/wiki/Believe_(Justin_Bieber_album),https://upload.wikimedia.org/wikipedia/en/0/01/Believe-JB-Album.jpg
Beyoncé,Dangerously in Love,e717c4b8e02dc99c1c15434327ba9dda,2003-06-23,4924000,2,1,14,1,1,1,4,https://en.wikipedia.org/wiki/Dangerously_in_Love,https://upload.wikimedia.org/wikipedia/en/8/84/Dangerously_In_Love_Album%282003%29.png
Beyoncé,B'Day,a3334bff7a63ade385c0390c7d8522d4,2006-08-31,3400000,8,3,12,5,3,1,3,https://en.wikipedia.org/wiki/B%27Day_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/c/c4/Beyonc%C3%A9_-_B%27Day.png
Beyoncé,I Am...Sasha Fierce,a68e074c4e9e27c54dcbc0fea06c3a90,2008-11-14,3120000,3,6,20,17,2,1,2,https://en.wikipedia.org/wiki/I_Am..._Sasha_Fierce,https://upload.wikimedia.org/wikipedia/en/9/96/I_Am..._Sasha_Fierce.png
Beyoncé,4,a23ea318ac32add45ea0a7ff256b95dd,2011-06-24,1410000,2,3,1,5,1,1,1,https://en.wikipedia.org/wiki/4_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/c/ca/Beyonc%C3%A9_-_4.png
Beyoncé,Beyoncé,7d9f415ece157f429d0d7fb6517388ed,2013-12-13,2200000,1,1,10,11,2,1,2,https://en.wikipedia.org/wiki/Beyonc%C3%A9_(album),https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Beyonc%C3%A9_-_Beyonc%C3%A9.svg/440px-Beyonc%C3%A9_-_Beyonc%C3%A9.svg.png
Eminem,Infinite,d3693616fb816e3aacd46b99d347e3a7,1996-11-12,1000,,,,,,,,https://en.wikipedia.org/wiki/Infinite_(Eminem_album),https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Infinite_%281996%29%2C_by_Eminem.png/220px-Infinite_%281996%29%2C_by_Eminem.png
Eminem,The Slim Shady LP,0d8fcaa242bee8fde45986f7b9168d0e,1999-02-23,5433000,49,9,52,51,10,2,4,https://en.wikipedia.org/wiki/The_Slim_Shady_LP,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Eminem_-_The_Slim_Shady_LP_CD_cover.jpg/220px-Eminem_-_The_Slim_Shady_LP_CD_cover.jpg
