artist_name,name,year,nominated_title,category,result
Kesha,American Music Awards,2010,Kesha,Artist of the Year,Nominated
Kesha,American Music Awards,2010,Kesha,Favorite Female Artist,Nominated
Kesha,American Music Awards,2010,Kesha,T-Mobile Breakthrough Artist,Nominated
Beyoncé,American Music Awards,2003,Beyoncé,Favorite Soul/R&B Female Artist,Nominated
Beyoncé,American Music Awards,2003,Beyoncé,Fan's Choice Award,Nominated
Beyoncé,American Music Awards,2003,Dangerously in Love,Favorite Soul/R&B Album,Nominated
Beyoncé,American Music Awards,2004,Beyoncé,Favorite Soul/R&B Female Artist,Nominated
Beyoncé,American Music Awards,2006,Beyoncé,Artist of the Year,Nominated
Beyoncé,American Music Awards,2007,Beyoncé,International Artist Award,Won
Beyoncé,American Music Awards,2007,Beyoncé,Favorite Pop/Rock Female Artist,Nominated
Beyoncé,American Music Awards,2007,Beyoncé,Favorite Soul/R&B Female Artist,Nominated
Beyoncé,American Music Awards,2007,B'Day,Favorite Soul/R&B Album,Nominated
Beyoncé,American Music Awards,2007,Dreamgirls: Music from the Motion Picture,Favorite Soundtrack,Nominated
Beyoncé,American Music Awards,2009,Beyoncé,Favorite Pop/Rock Female Artist,Nominated
Beyoncé,American Music Awards,2009,Beyoncé,Favorite Soul/R&B Female Artist,Won
Beyoncé,American Music Awards,2009,I Am... Sasha Fierce,Favorite Soul/R&B Album,Nominated
Beyoncé,American Music Awards,2011,Beyoncé,Favorite Soul/R&B Female Artist,Won
Beyoncé,American Music Awards,2011,4,Favorite Soul/R&B Album,Nominated
Beyoncé,American Music Awards,2012,Beyoncé,Favorite Soul/R&B Female Artist,Won
Beyoncé,American Music Awards,2014,Beyoncé,Artist of the Year,Nominated
Beyoncé,American Music Awards,2014,Beyoncé,Favorite Soul/R&B Female Artist,Won
Beyoncé,American Music Awards,2014,Beyoncé,Favorite Soul/R&B Album,Won
Beyoncé,Grammy Awards,2000,"Bills, Bills, Bills",Best R&B Performance by a Duo or Group with Vocals,Nominated
Beyoncé,Grammy Awards,2000,"Bills, Bills, Bills",Best R&B Song,Nominated
Beyoncé,Grammy Awards,2001,Say My Name,Record of the Year,Nominated
Beyoncé,Grammy Awards,2001,Say My Name,Song of the Year,Nominated
Beyoncé,Grammy Awards,2001,Say My Name,Best R&B Performance by a Duo or Group with Vocals,Won
Beyoncé,Grammy Awards,2001,Say My Name,Best R&B Song,Won
Beyoncé,Grammy Awards,2001,Independent Women Part I,"Best Song Written for a Motion Picture, Television or Other Visual Media",Nominated
Beyoncé,Grammy Awards,2002,Survivor,Best R&B Album,Nominated
Beyoncé,Grammy Awards,2002,Survivor,Best R&B Performance by a Duo or Group with Vocals,Won
Beyoncé,Grammy Awards,2004,Under Construction (as featured artist),Album of the Year,Nominated
