album_id,title,number,length,length_seconds,single_release_date,peak_aus,peak_can,peak_fra,peak_ger,peak_uk,peak_us,riaa_platinum
a23ea318ac32add45ea0a7ff256b95dd,1+1,1,4:33,273,,,,,,,,
a23ea318ac32add45ea0a7ff256b95dd,I Care,2,3:59,239,2012-03-23,,,,,,,
a23ea318ac32add45ea0a7ff256b95dd,I Miss You,3,2:59,179,,,,,,,,
a23ea318ac32add45ea0a7ff256b95dd,Best Thing I Never Had,4,4:13,253,2011-06-01,17,27,,29,3,16,1
a23ea318ac32add45ea0a7ff256b95dd,Party (featuring André 3000),5,4:05,245,2011-08-30,,,,,,50,
a23ea318ac32add45ea0a7ff256b95dd,Rather Die Young,6,3:42,222,,,,,,,,
a23ea318ac32add45ea0a7ff256b95dd,Start Over,7,3:19,199,,,,,,,,
a23ea318ac32add45ea0a7ff256b95dd,Love on Top,8,4:27,267,2011-09-12,20,65,,13,20,,
a23ea318ac32add45ea0a7ff256b95dd,Countdown,9,3:32,212,2011-10-04,,62,,,35,71,
a23ea318ac32add45ea0a7ff256b95dd,End of Time,10,3:43,223,2012-04-23,,,,,39,,
a23ea318ac32add45ea0a7ff256b95dd,I Was Here,11,3:59,239,,,,,,,,
a23ea318ac32add45ea0a7ff256b95dd,Run the World (Girls),12,3:56,236,2011-04-21,10,16,,,11,29,
a3334bff7a63ade385c0390c7d8522d4,Déjà Vu (featuring Jay-Z),1,4:00,240,2006-06-24,12,14,,9,1,4,
a3334bff7a63ade385c0390c7d8522d4,Get Me Bodied,2,3:25,205,2007-07-10,,,,,,,
a3334bff7a63ade385c0390c7d8522d4,Suga Mama,3,3:26,206,,,,,,,,
a3334bff7a63ade385c0390c7d8522d4,Upgrade U (featuring Jay-Z),4,4:33,273,,,,,,,,
a3334bff7a63ade385c0390c7d8522d4,Ring the Alarm,5,3:23,203,2006-09-10,,,,,,11,
a3334bff7a63ade385c0390c7d8522d4,Kitty Kat,6,3:56,236,,,,,,,,
a3334bff7a63ade385c0390c7d8522d4,Freakum Dress,7,3:21,201,,,,,,,,
a3334bff7a63ade385c0390c7d8522d4,Green Light,8,3:30,210,2007-07-30,,,,,,,
a3334bff7a63ade385c0390c7d8522d4,Irreplaceable,9,3:49,229,2006-10-23,1,2,,11,4,1,3
a3334bff7a63ade385c0390c7d8522d4,Resentment,10,4:42,282,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Pretty Hurts,1,4:17,257,2014-06-10,47,78,,83,63,,
7d9f415ece157f429d0d7fb6517388ed,Haunted,2,6:09,369,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Drunk in Love (featuring Jay Z),3,5:23,323,2013-12-17,22,23,,70,9,2,3
7d9f415ece157f429d0d7fb6517388ed,Blow,4,5:09,309,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,No Angel,5,3:48,228,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Partition,6,5:19,319,2014-02-25,,100,,,74,23,1
7d9f415ece157f429d0d7fb6517388ed,Jealous,7,3:04,184,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Rocket,8,6:31,391,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Mine (featuring Drake),9,6:18,378,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,XO,10,3:35,215,2013-12-16,16,36,,68,22,45,1
7d9f415ece157f429d0d7fb6517388ed,Flawless (featuring Chimamanda Ngozi Adichie),11,4:10,250,2014-08-12,,,,,65,41,
7d9f415ece157f429d0d7fb6517388ed,Superpower (featuring Frank Ocean),12,4:36,276,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Heaven,13,3:50,230,,,,,,,,
7d9f415ece157f429d0d7fb6517388ed,Blue (featuring Blue Ivy),14,4:26,266,,,,,,,,
e717c4b8e02dc99c1c15434327ba9dda,Crazy in Love (featuring Jay-Z),1,3:56,236,2003-05-18,2,2,,6,1,1,
