IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150774028,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,08/31/2015,23:55,NORTHERN,NONE,1300 Block of STEINER ST,-122.434137606289,37.7816850865094,"(37.7816850865094, -122.434137606289)",15077402806304
150776654,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Monday,08/31/2015,23:54,CENTRAL,NONE,0 Block of MAIDEN LN,-122.404366570224,37.7883830183627,"(37.7883830183627, -122.404366570224)",15077665409024
150766871,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,23:30,PARK,NONE,200 Block of CENTRAL AV,-122.444000364635,37.7718270462389,"(37.7718270462389, -122.444000364635)",15076687106244
150765635,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Monday,08/31/2015,23:21,MISSION,"ARREST, BOOKED",HARRISON ST / ALAMEDA ST,-122.413343513435,37.7680235434355,"(37.7680235434355, -122.413343513435)",15076563530080
150765635,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,08/31/2015,23:21,MISSION,"ARREST, BOOKED",HARRISON ST / ALAMEDA ST,-122.413343513435,37.7680235434355,"(37.7680235434355, -122.413343513435)",15076563516710
150765817,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,08/31/2015,23:04,MISSION,NONE,2200 Block of ALAMEDA ST,-122.407310536221,37.7683289474283,"(37.7683289474283, -122.407310536221)",15076581768020
156216458,NON-CRIMINAL,LOST PROPERTY,Monday,08/31/2015,23:00,BAYVIEW,NONE,3RD ST / HOLLISTER AV,-122.395946406663,37.7217169542794,"(37.7217169542794, -122.395946406663)",15621645871000
150767330,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,08/31/2015,23:00,BAYVIEW,NONE,1100 Block of FITZGERALD AV,-122.390440681948,37.7204170772512,"(37.7204170772512, -122.390440681948)",15076733005041
150767089,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,08/31/2015,23:00,RICHMOND,NONE,3100 Block of CLEMENT ST,-122.492917008259,37.7815966400474,"(37.7815966400474, -122.492917008259)",15076708964070
156217616,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,23:00,SOUTHERN,NONE,800 Block of MISSION ST,-122.405395493939,37.7835100715421,"(37.7835100715421, -122.405395493939)",15621761606244
156215563,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/31/2015,23:00,NORTHERN,NONE,WEBSTER ST / GEARY BL,-122.431206932079,37.7845681170336,"(37.7845681170336, -122.431206932079)",15621556306244
150765798,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,08/31/2015,23:00,MISSION,NONE,2200 Block of MARKET ST,-122.431957685196,37.7649357189679,"(37.7649357189679, -122.431957685196)",15076579828150
156216862,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,08/31/2015,23:00,CENTRAL,NONE,300 Block of LOMBARD ST,-122.407116997965,37.8036194271937,"(37.8036194271937, -122.407116997965)",15621686206372
156216674,NON-CRIMINAL,LOST PROPERTY,Monday,08/31/2015,23:00,CENTRAL,NONE,300 Block of POWELL ST,-122.408384275542,37.7878271137225,"(37.7878271137225, -122.408384275542)",15621667471000
150765572,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,08/31/2015,22:45,SOUTHERN,NONE,MISSION ST / 6TH ST,-122.408710606663,37.7809706722053,"(37.7809706722053, -122.408710606663)",15076557228160
150765475,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,08/31/2015,22:34,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.3949284758,37.7239748241609,"(37.7239748241609, -122.3949284758)",15076547565015
150765776,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,08/31/2015,22:30,INGLESIDE,NONE,600 Block of CHENERY ST,-122.433281559632,37.7345669590706,"(37.7345669590706, -122.433281559632)",15076577606241
150765522,ASSAULT,THREATS AGAINST LIFE,Monday,08/31/2015,22:20,TARAVAL,NONE,1300 Block of 12TH AV,-122.469386563713,37.7629502112728,"(37.7629502112728, -122.469386563713)",15076552219057
150765516,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,08/31/2015,22:20,NORTHERN,NONE,1000 Block of POST ST,-122.419104424644,37.7868764841608,"(37.7868764841608, -122.419104424644)",15076551668020
