"time","latitude","longitude","depth","mag","magType","id","place","STUSPS","FIPS"
"2015-09-20T16:55:21.558Z",41.8648,-119.6279,10.9,3.4,"ml","nn00511445","69km ESE of Lakeview, Oregon","NV","32031"
"2015-09-20T13:06:22.800Z",35.9953,-96.856,4.79,3,"mb_lg","us20003m6q","8km W of Cushing, Oklahoma","OK","40119"
"2015-09-19T08:33:28.000Z",68.8433,-146.9591,13,3.1,"ml","ak11713604","98km NW of Arctic Village, Alaska","AK","02185"
"2015-09-19T05:44:27.870Z",36.3358,-96.8186,5,3,"mb_lg","us20003lqz","1km W of Pawnee, Oklahoma","OK","40117"
"2015-09-19T04:20:12.980Z",36.3364,-96.8043,5,3.1,"mb_lg","us20003lpu","0km SSW of Pawnee, Oklahoma","OK","40117"
"2015-09-19T01:47:31.000Z",63.4069,-147.04,68.3,3.1,"ml","ak11713338","95km SW of Delta Junction, Alaska","AK","02170"
"2015-09-18T23:51:56.320Z",36.8106,-97.8085,1.61,3.1,"mb_lg","us20003ln7","6km W of Medford, Oklahoma","OK","40053"
"2015-09-18T20:11:48.663Z",38.4719,-118.3649,5.9,3.6,"ml","nn00511265","22km ESE of Hawthorne, Nevada","NV","32021"
"2015-09-18T13:10:02.780Z",36.2769,-97.5182,5,3.2,"mb_lg","us20003l7i","20km W of Perry, Oklahoma","OK","40047"
"2015-09-18T12:35:17.550Z",36.0098,-96.8439,3.69,4.1,"mb_lg","us20003l6t","7km WNW of Cushing, Oklahoma","OK","40119"
"2015-09-18T09:16:56.250Z",35.9969,-96.8079,3.04,3.5,"mb_lg","us20003l5f","3km WNW of Cushing, Oklahoma","OK","40119"
"2015-09-18T02:12:01.030Z",37.4453,-98.9217,8.48,3.7,"mb_lg","us20003l2d","27km SW of Pratt, Kansas","KS","20007"
"2015-09-18T01:08:48.000Z",60.1037,-140.6625,0.6,3.4,"ml","ak11710940","81km NW of Yakutat, Alaska","AK","02282"
"2015-09-17T22:32:49.860Z",19.3458333,-155.0766667,8.188,3.77,"ml","hv61040541","18km S of Fern Acres, Hawaii","HI","15001"
"2015-09-17T20:47:27.701Z",41.858,-119.6452,11.8,3.1,"ml","nn00511125","70km ESE of Lakeview, Oregon","NV","32031"
"2015-09-17T15:03:29.500Z",36.8433,-97.8111,4.889,3.1,"ml","us20003klk","7km WNW of Medford, Oklahoma","OK","40053"
"2015-09-17T03:38:37.000Z",62.7743,-148.9271,57.4,4.3,"ml","ak11705306","68km S of Cantwell, Alaska","AK","02170"
"2015-09-17T00:10:59.000Z",62.0376,-148.4738,28.2,3,"ml","ak11704919","33km NE of Sutton-Alpine, Alaska","AK","02170"
"2015-09-17T00:07:42.000Z",59.9745,-140.7409,0.1,3.2,"ml","ak11704914","74km NW of Yakutat, Alaska","AK","02282"
"2015-09-16T19:34:08.420Z",34.2857,-106.7829,5.8,3.2,"ml","us20003k43","27km NNE of Socorro, New Mexico","NM","35053"
"2015-09-16T19:34:02.100Z",36.2801,-97.5128,9.424,3,"ml","us20003k50","20km W of Perry, Oklahoma","OK","40047"
"2015-09-16T16:10:47.340Z",34.1371667,-116.858,11.177,4.01,"mw","ci37243591","13km SSE of Big Bear Lake, California","CA","06071"
"2015-09-16T15:17:36.170Z",36.3333,-96.8216,5,3.4,"mb_lg","us20003jzj","1km WSW of Pawnee, Oklahoma","OK","40117"
"2015-09-16T13:44:36.880Z",37.7946667,-119.0408333,4.37,3.24,"md","nc72525806","17km NNW of Mammoth Lakes, California","CA","06051"
"2015-09-16T12:09:52.560Z",36.3398,-96.7903,5,3.5,"mb_lg","us20003jxh","1km E of Pawnee, Oklahoma","OK","40117"
"2015-09-16T09:06:57.000Z",61.2044,-151.52,70.3,3.1,"ml","ak11703292","58km NNW of Nikiski, Alaska","AK","02122"
"2015-09-16T04:48:01.060Z",36.4978,-98.9294,7.21,4,"mb_lg","us20003jvv","25km ENE of Mooreland, Oklahoma","OK","40093"
"2015-09-16T03:27:57.820Z",32.9313333,-115.5413333,11.918,3.28,"ml","ci37243311","5km S of Brawley, California","CA","06025"
"2015-09-16T02:30:02.180Z",35.9935,-96.8069,5,3.7,"mwr","us20003jvi","3km WNW of Cushing, Oklahoma","OK","40119"
"2015-09-15T23:45:32.640Z",36.5175,-98.9417,4.29,3.3,"mb_lg","us20003juv","25km ENE of Mooreland, Oklahoma","OK","40151"
"2015-09-15T22:57:14.020Z",36.4635,-98.8654,3.03,3.3,"mb_lg","us20003jul","30km E of Mooreland, Oklahoma","OK","40093"
"2015-09-15T16:28:42.990Z",35.6999,-97.4465,5,3,"mb_lg","us20003jng","5km NNE of Edmond, Oklahoma","OK","40109"
"2015-09-15T13:58:40.800Z",35.5128,-97.3032,6.372,3,"ml","us20003jmb","3km WNW of Choctaw, Oklahoma","OK","40109"
"2015-09-15T12:46:06.150Z",38.809,-122.8128333,3.25,3,"ml","nc72525476","6km NW of The Geysers, California","CA","06097"
"2015-09-14T17:25:29.100Z",35.7437,-97.3552,5.391,3.3,"ml","us20003je6","15km NE of Edmond, Oklahoma","OK","40083"
"2015-09-14T14:12:05.845Z",41.8468,-119.6435,8.2896,3.05,"ml","nn00510527","69km ESE of Lakeview, Oregon","NV","32031"
"2015-09-14T13:55:48.087Z",41.8594,-119.6271,9.7,4.7,"ml","nn00510518","69km ESE of Lakeview, Oregon","NV","32031"
"2015-09-14T08:02:45.260Z",37.5975,-118.7878333,7.02,3.22,"ml","nc72525076","17km ESE of Mammoth Lakes, California","CA","06051"
"2015-09-14T07:04:30.360Z",36.2811,-97.5191,3.62,3.1,"mb_lg","us20003j9c","20km W of Perry, Oklahoma","OK","40047"
"2015-09-14T02:06:24.550Z",36.0731,-97.4507,5,3.1,"mb_lg","us20003j8n","18km NE of Crescent, Oklahoma","OK","40083"
"2015-09-14T00:04:53.080Z",36.0844,-97.4304,5,3.4,"mb_lg","us20003j83","20km NE of Crescent, Oklahoma","OK","40083"
"2015-09-13T07:13:21.000Z",63.4323,-151.1999,13,3.1,"ml","ak11700645","112km W of Cantwell, Alaska","AK","02068"
"2015-09-13T00:24:00.000Z",51.7205,-177.1065,64.2,3.4,"ml","ak11700453","35km WSW of Adak, Alaska","AK","02016"
"2015-09-12T22:22:12.400Z",47.5178333,-121.7498333,19.181,3.95,"ml","uw61064752","6km NE of Tanner, Washington","WA","53033"
"2015-09-12T13:47:08.890Z",35.7751,-97.3714,5,3,"mb_lg","us20003j0x","12km SSE of Guthrie, Oklahoma","OK","40083"
"2015-09-12T13:41:32.640Z",39.8076667,-122.7425,3.98,3.07,"ml","nc72524286","37km SW of Rancho Tehama Reserve, California","CA","06103"
"2015-09-12T10:55:44.220Z",35.9928,-97.579,8.84,3.1,"mb_lg","us20003j0a","4km NNE of Crescent, Oklahoma","OK","40083"
"2015-09-12T00:55:33.730Z",37.0438,-97.9189,6.24,3.1,"mb_lg","us20003iwg","15km SE of Anthony, Kansas","KS","20077"
"2015-09-10T19:26:57.310Z",36.8847,-97.6443,5.7,3.7,"mb_lg","us20003hum","11km NE of Medford, Oklahoma","OK","40053"
"2015-09-10T18:41:33.800Z",36.0301,-97.1221,5.336,3.1,"ml","us20003huh","10km NW of Perkins, Oklahoma","OK","40119"
"2015-09-10T11:20:07.444Z",38.6502,-118.7997,6.4274,3.07,"ml","nn00509943","20km NW of Hawthorne, Nevada","NV","32021"
"2015-09-10T01:05:28.190Z",36.1822,-97.4938,3.62,3.2,"mb_lg","us20003hp0","21km WSW of Perry, Oklahoma","OK","40047"
"2015-09-09T11:24:18.000Z",57.076,-157.054,3.7,3.3,"ml","ak11696808","138km NE of Chignik Lake, Alaska","AK","02164"
"2015-09-09T05:11:04.000Z",56.9979,-157.1926,1.2,3.4,"ml","ak11696695","126km NE of Chignik Lake, Alaska","AK","02164"
"2015-09-09T03:42:49.110Z",36.1899,-97.4829,4.81,3.7,"mb","us20003hgz","20km WSW of Perry, Oklahoma","OK","40047"
"2015-09-08T21:26:20.810Z",36.181,-97.4918,5,3.2,"mb_lg","us20003her","21km WSW of Perry, Oklahoma","OK","40047"
"2015-09-08T19:48:11.000Z",57.0894,-157.1524,1,3.5,"ml","ak11696312","146km NE of Chignik Lake, Alaska","AK","02164"
"2015-09-08T12:25:05.000Z",56.9762,-157.1845,1,3,"ml","ak11695878","125km NE of Chignik Lake, Alaska","AK","02164"
"2015-09-08T11:34:38.000Z",57.0475,-157.121,4.8,4.7,"Ml","ak11695807","134km NE of Chignik Lake, Alaska","AK","02164"
"2015-09-08T08:13:42.940Z",41.9868333,-120.1623333,8.63,3.52,"ml","nc72522031","28km SSE of Lakeview, Oregon","CA","06049"
"2015-09-08T02:21:40.414Z",38.6521,-118.8004,7.3,3.4,"ml","nn00509598","20km NW of Hawthorne, Nevada","NV","32021"
"2015-09-08T02:21:31.118Z",38.6514,-118.8018,6.468,3.46,"ml","nn00509591","23km NW of Hawthorne, Nevada","NV","32021"
"2015-09-08T02:15:19.980Z",38.6488,-118.8064,6.2,4.4,"ml","nn00509589","20km NW of Hawthorne, Nevada","NV","32021"
"2015-09-07T22:15:28.000Z",54.6685,-163.6883,7.9,3,"ml","ak11695520","26km SW of False Pass, Alaska","AK","02013"
"2015-09-04T08:13:43.000Z",65.436,-167.3155,10,3.3,"ml","ak11699677","80km ESE of Little Diomede Island, Alaska","AK","02180"
"2015-09-04T07:35:39.156Z",41.8463,-119.6317,8.6935,3.32,"ml","nn00509233","72km ESE of Lakeview, Oregon","NV","32031"
"2015-09-03T22:29:21.660Z",46.3561667,-122.2631667,11.53,3.11,"ml","uw61074446","22km S of Morton, Washington","WA","53015"
"2015-09-03T18:04:40.160Z",51.9282,-175.7367,69.85,4.3,"mb","us20003g1h","63km E of Adak, Alaska","AK","02016"
"2015-09-03T09:36:32.240Z",41.8532,-119.6307,8.3884,3.22,"ml","nn00509117","67km ESE of Lakeview, Oregon","NV","32031"
"2015-09-02T23:52:24.280Z",36.9311,-98.0232,9.94,3,"mb_lg","us20003fwl","24km S of Anthony, Kansas","OK","40053"
"2015-09-02T14:01:26.240Z",35.949,-96.781,3.7,3.5,"mb_lg","us20003fqc","4km SSW of Cushing, Oklahoma","OK","40119"
"2015-09-02T13:50:02.530Z",36.488,-98.511,4.4,3.5,"mwr","us20003fq6","22km WSW of Helena, Oklahoma","OK","40003"
"2015-09-02T08:33:06.000Z",63.2869,-151.3785,14.9,4.2,"ml","ak11690037","121km W of Cantwell, Alaska","AK","02068"
"2015-09-01T18:23:30.000Z",59.9029,-153.3741,135.7,3.4,"ml","ak11689482","74km SSW of Redoubt Volcano, Alaska","AK","02122"
"2015-09-01T18:00:46.440Z",35.951,-96.78,4.1,3,"ml","us20003fik","3km SSW of Cushing, Oklahoma","OK","40119"
"2015-09-01T16:42:45.630Z",48.3073333,-119.0193333,9.737,4.25,"ml","uw61073836","38km N of Coulee Dam, Washington","WA","53047"
"2015-09-01T11:41:00.570Z",37.0376,-97.5292,6.48,3.1,"mb_lg","us20003fca","6km E of Caldwell, Kansas","KS","20191"
"2015-09-01T09:43:50.510Z",35.9758,-96.7989,5,3.1,"mb_lg","us20003fc5","3km WSW of Cushing, Oklahoma","OK","40119"
"2015-08-31T22:52:27.486Z",41.8624,-119.6267,10.3336,3.33,"ml","nn00508828","69km ESE of Lakeview, Oregon","NV","32031"
"2015-08-31T21:26:17.795Z",41.8712,-119.6053,10.2231,3.15,"ml","nn00508822","70km ESE of Lakeview, Oregon","NV","32031"
"2015-08-31T14:44:09.200Z",36.7851,-98.4536,0.123,3.5,"ml","us100036av","9km WNW of Cherokee, Oklahoma","OK","40003"
