name,address,city,state,category,yelp_url
Shake Shack,E 23rd St and Madison Ave,Manhattan,NY,Burgers,http://www.yelp.com/biz/shake-shack-new-york-2,25,2,4.0,5035
Big Gay Ice Cream,125 E 7th St.,Manhattan,NY,Desserts,http://www.yelp.com/biz/big-gay-ice-cream-shop-new-york,25,1,4.0,1020
Crif Dogs,113 St. Marks Place,Manhattan,NY,Hot dogs,http://www.yelp.com/biz/crif-dogs-new-york,25,1,4.0,1566
Mighty Quinn's,103 2nd Ave,Manhattan,NY,BBQ,http://www.yelp.com/biz/mighty-quinns-barbeque-new-york,25,2,4.0,770
Xe May,96 St Marks Place,Manhattan,NY,Vietnamese,http://www.yelp.com/biz/xe-may-sandwich-shop-new-york,25,1,4.5,360
Luzzo's,211 First Ave,Manhattan,NY,Pizza,http://www.yelp.com/biz/luzzos-new-york,25,2,4.0,737
Caracas,93 1/2 E 7th St,Manhattan,NY,Venezuelan,http://www.yelp.com/biz/caracas-arepa-bar-new-york,25,2,4.0,2003
Ippudo,65 4th Ave,Manhattan,NY,Ramen,http://www.yelp.com/biz/ippudo-ny-new-york,25,2,4.0,6427
El Sabroso,265 W 37th St,Manhattan,NY,Cuban,http://www.yelp.com/biz/el-sabroso-new-york,25,1,4.0,62
Soup Spot,220 W 31st St ,Manhattan,NY,Soup,http://www.yelp.com/biz/soup-spot-new-york,25,1,4.5,143
Uncle Yu’s,2005 Crow Canyon Pl,San Ramon,California,Chinese,http://www.yelp.com/biz/uncle-yus-san-ramon,0,2,3.5,212
Pete’s Brass Rail and Carwash,201 Hartz Ave,Danville,California,American,http://www.yelp.com/biz/petes-brass-rail-and-car-wash-danville,0,2,3.5,323
Scott’s Seafood Grill and Bar,2 Broadway,Oakland,California,Seafood,http://www.yelp.com/biz/scotts-seafood-grill-and-bar-oakland,0,3,3.5,498
Akira Bistro,499 San Ramon Valley Blvd,Danville,California,Sushi,http://www.yelp.com/biz/akira-bistro-danville,0,2,3.5,103
Sideboard,90 Railroad Ave,Danville,California,breakfast,http://www.yelp.com/biz/sideboard-danville-2,0,2,4.0,122
Off the Waffle,2540 Willamette St,Eugene,Oregon,breakfast,http://www.yelp.com/biz/off-the-waffle-eugene-8,0,1,4.0,193
Ascona Pizza Company,3414 Camino Tassajara,Danville,California,pizza,http://www.yelp.com/biz/off-the-waffle-eugene-8,0,1,4.0,193
High Tech Burrito,1815 Ygnacio Valley Rd,Walnut Creek,California,Mexican,http://www.yelp.com/biz/high-tech-burrito-walnut-creek,0,1,3.5,102
Culver’s,123 US Highway 51 N,Woodruff,Wisconsin,burgers,http://www.yelp.com/biz/culvers-woodruff,0,0,4.0,1
Gino’s East,162 E Superior St,Chicago,Illinois,pizza,http://www.yelp.com/biz/the-original-ginos-east-of-chicago-chicago-2,0,2,3.5,1121
St. Arnolds,1827 Jefferson Pl NW,Washington,DC,Mussel bar,http://www.yelp.com/biz/st-arnolds-on-jefferson-washington,1,2,4.0,374
Urban Taco,5331 E Mockingbird Ln,Dallas,TX,Taqueria,http://www.yelp.com/biz/urban-taco-dallas,1,2,3.5,181
Toki Underground,1234 H St NE,Washington,DC,Ramen,http://www.yelp.com/biz/toki-underground-washington,1,2,4.0,940
Maison Premiere,298 Bedford Ave,Brooklyn,NY,Oyster house,http://www.yelp.com/biz/maison-premiere-brooklyn,1,3,4.0,555
Modesto,5257 Shaw Ave,St. Louis,MO,Tapas bar,http://www.yelp.com/biz/modesto-tapas-bar-and-restaurant-saint-louis-2,1,2,4.0,201
Cava Mezze,527 8th St SE,Washington,DC,Greek,http://www.yelp.com/biz/cava-mezze-dc-washington-2,1,2,4.0,719
Ramen Dojo,805 S B St,San Mateo,CA,Ramen,http://www.yelp.com/biz/ramen-dojo-san-mateo,1,2,4.0,2476
Charlie Vergos’ Rendezvous,52 S 2nd St,Memphis,TN,Barbeque,http://www.yelp.com/biz/charlie-vergos-rendezvous-memphis,1,2,3.5,908
Gusta Pizza,Via de' Michelozzi 13R,Florence,Italy,Pizza,http://www.yelp.com/biz/gustapizza-firenze,1,0,4.0,68
Tuck Shop,68 E 1st street,New York,NY,pies,http://www.yelp.com/biz/tuck-shop-new-york,2,1,4.0,284
Boqueria,53 W 19th St,New York,NY,tapas,http://www.yelp.com/biz/boqueria-new-york,2,3,4.0,681
Momofuku,171 1st Ave,New York,NY,Asian Fusion,http://www.yelp.com/biz/momofuku-noodle-bar-new-york,2,2,3.5,2583
Crif Dogs,113 Saint Marks Place,New York,NY,hot dogs,http://www.yelp.com/biz/crif-dogs-new-york,2,1,4.0,1566
Da Silvano,260 Avenue of the Americas,New York,NY,Italian,http://www.yelp.com/biz/da-silvano-new-york,2,3,3.5,193
SD26,19 E 26th St,New York,NY,Italian,http://www.yelp.com/biz/sd26-restaurant-and-wine-bar-new-york,2,3,3.5,279
Awash,947 Amsterdam Ave,New York,NY,Ethiopian,http://www.yelp.com/biz/awash-ethiopian-restaurant-new-york-2,2,2,4.0,244
E&O Asian Kitchen,314 Sutter St,San Francisco,CA,Asian Fusion,http://www.yelp.com/biz/e-and-o-asian-kitchen-san-francisco-2,2,3,3.5,261
Homma's brown rice sushi,2363 Birch St,Palo Alto,CA,sushi,http://www.yelp.com/biz/hommas-brown-rice-sushi-palo-alto,2,2,4.0,392
Evvia,420 Emerson St,Palo Alto,CA,Greek,http://www.yelp.com/biz/evvia-estiatorio-palo-alto,2,3,4.5,1468
Kirin,2700 Yulupa Ave,Santa Rosa,CA,Chinese,http://www.yelp.com/biz/kirin-restaurant-santa-rosa,3,2,3.5,135
Cafe Citti,9047 Sonoma Hwy,Kenwood,CA,Italian,http://www.yelp.com/biz/cafe-citti-kenwood,3,2,4.0,273
Plutos,482 University Ave,Palo Alto,CA,American,http://www.yelp.com/biz/plutos-palo-alto-2,3,1,4.0,823
Los Altos Grill,233 3rd St,Los Altos,CA,American,http://www.yelp.com/biz/los-altos-grill-los-altos,3,3,4.0,864
Rosso Pizzeria,53 Montgomery Dr,Santa Rosa,CA,Italian,http://www.yelp.com/biz/rosso-pizzeria-and-wine-bar-santa-rosa,3,2,4.0,427
Wise Sons Jewish Deli,3150 24th St,San Francisco,CA,Jewish,http://www.yelp.com/biz/wise-sons-jewish-delicatessen-san-francisco,3,2,3.5,388
Bay Cities,1517 Lincoln Blvd,Santa Monica,CA,American,http://www.yelp.com/biz/bay-cities-italian-deli-and-bakery-santa-monica,3,1,4.5,2981
The Counter,369 California Ave,Palo Alto,CA,American,http://www.yelp.com/biz/the-counter-palo-alto-2,3,2,3.5,1269
Pho Vi Hoa,4546 El Camino Real,Los Altos,CA,Vietnamese,http://www.yelp.com/biz/pho-vi-hoa-los-altos,3,1,3.5,678
Tofu House,4127 El Camino Real,Palo Alto,CA,Korean,http://www.yelp.com/biz/so-gong-dong-tofu-house-palo-alto,3,2,4.0,849
Evvia,420 Emerson Street,Palo Alto,CA,Greek,http://www.yelp.com/biz/evvia-estiatorio-palo-alto,4,3,4.5,1468
Tamarine,546 University Avenue,Palo Alto,CA,Vietnamese,http://www.yelp.com/biz/tamarine-palo-alto,4,3,4.0,1174
Sundance The Steakhouse,1921 El Camino Real,Palo Alto,CA,American Steakhouse,http://www.yelp.com/biz/sundance-the-steakhouse-palo-alto,4,3,4.0,767
Reposado,236 Hamilton Avenue,Palo Alto,CA,Mexican,http://www.yelp.com/biz/reposado-palo-alto,4,3,3.5,824
Darbar,129 Lytton Avenue,Palo Alto,CA,Indian,http://www.yelp.com/biz/darbar-indian-cuisine-palo-alto,4,2,4.0,465
Amber Dhara,150 University Avenue,Palo Alto,CA,Indian,http://www.yelp.com/biz/amber-dhara-palo-alto,4,2,3.5,152
Terrone,448 S California Avenue,Palo Alto,CA,Italian,http://www.yelp.com/biz/ter%C3%BAn-palo-alto-3,4,2,4.0,426
Osteria,247 Hamilton Avenue,Palo Alto,CA,Italian,http://www.yelp.com/biz/osteria-palo-alto,4,2,3.5,614
John Bentley's,2915 El Camino Real,Redwood City,CA,American,http://www.yelp.com/biz/john-bentleys-redwood-city,4,3,4.0,289
Su Hong Eatery,4256 El Camino Real,Palo Alto,CA,Chinese,http://www.yelp.com/biz/su-hong-eatery-palo-alto,4,2,3.0,219
Little Star Pizza,846 Divisadero St,San Francisco,CA,Pizza and beer,http://www.yelp.com/biz/little-star-pizza-san-francisco,5,2,4.5,2301
Viks Chaat,2390 4th St,Berkeley,CA,Indian,http://www.yelp.com/biz/viks-chaat-berkeley,5,1,4.0,1528
Le Cheval,1007 Clay St,Oakland,CA,Vietnamese,http://www.yelp.com/biz/le-cheval-oakland,5,2,3.5,953
Coconuts Caribbean Restaurant,642 Ramona St,Palo Alto,CA,Caribbean,http://www.yelp.com/biz/coconuts-caribbean-restaurant-and-bar-palo-alto,5,2,4.0,1100
À Côté,5478 College Ave,Oakland,CA,French Spanish Italian,http://www.yelp.com/biz/%C3%A0-c%C3%B4t%C3%A9-oakland-2,5,3,4.0,1020
El Farolito,2779 Mission St,San Francisco,CA,Mexican,http://www.yelp.com/biz/el-farolito-san-francisco-2,5,1,4.0,3046
Barlata,4901 Telegraph Ave.,Oakland,CA,Spanish,http://www.yelp.com/biz/barlata-oakland,5,2,3.5,549
Boot and Shoe Service,3308 Grand Ave,Oakland,CA,Pizza,http://www.yelp.com/biz/boot-and-shoe-service-oakland,5,2,4.0,852
Anula's Cafe,1319 Franklin St,Oakland,CA,Sri Lankan,http://www.yelp.com/biz/anulas-cafe-oakland,5,1,4.5,71
Galli,45 Mercer St,New York,NY,Italian,http://www.yelp.com/biz/galli-restaurant-new-york,6,2,4.0,244
Tofu House,4127 El Caminos Real,Palo Alto,CA,Korean,http://www.yelp.com/biz/so-gong-dong-tofu-house-palo-alto,6,2,4.0,849
Ippudo NY,321 W 51st St,New York,NY,Japanese,http://www.yelp.com/biz/ippudo-ny-new-york,6,2,4.0,6427
